priority,rank,examTitle,filename,tier,detectedYear,declaredQuestionCount,whyNeeded,status
P0_ESSENCIAL,1,EMPRESA DE TECNOLOGIA E INFORMAÇÕES DA PREVIDÊNCIA - DATAPREV ATI - DESENVOLVIMENTO DE SOFTWARE,analista_de_tecnologia_da_informacao_desenvolvimento_de_software.pdf,A1 - referência primária,N/D,70,"Mesma instituição e especialidade; necessário para distratores, anulações e simulado de referência.",RECEIVED_EXACT_PRELIMINARY
P1_MUITO_ALTA,2,TRIBUNAL DE CONTAS DO ESTADO DO PARÁ – AUDITOR DE CONTROLE EXTERNO – ÁREA DE INFORMÁTICA ANALISTA DE SISTEMAS,auditor_de_controle_externo_informatica_analista_de_sistemas.pdf,A2 - muito alta,2024,100,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
P1_MUITO_ALTA,3,ASSEMBLEIA LEGISLATIVA DO ESTADO DO PARANÁ – OBJETIVA – ( ) ANALISTA LEGISLATIVO DESENVOLVEDOR DE SISTEMAS –,analista_legislativo_desenvolvedor_de_sistemas.pdf,A2 - muito alta,2024,70,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
P1_MUITO_ALTA,4,TRIBUNAL REGIONAL FEDERAL DA 1ª REGIÃO ANALISTA JUDICIÁRIO - ÁREA APOIO ESPECIALIZADO – ESPECIALIDADE: ANÁLISE DE SISTEMAS DE INFORMAÇÃO OBJETIVA E DISCURSIVA –,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
P1_MUITO_ALTA,5,TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ ANALISTA JUDICIÁRIO - APOIO ESPECIALIZADO - TECNOLOGIA DA INFORMAÇÃO - DESENVOLVIMENTO DE SISTEMAS ESCRITA OBJETIVA –,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_DEFINITIVE
P1_MUITO_ALTA,6,MINISTÉRIO PÚBLICO DA UNIÃO A06 - ANALISTA DO MPU - DESENVOLVIMENTO DE SISTEMAS OBJETIVA E DISCURSIVA –,analista_do_mpu_desenvolvimento_de_sistemas.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
P2_ALTA,7,BANESTES ANALISTA EM TECNOLOGIA DA INFORMAÇÃO - DESENVOLVIMENTO DE SISTEMAS,analista_em_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_DEFINITIVE
P2_ALTA,8,PREFEITURA MUNICIPAL DE MACAÉ PARA PROVIMENTO DE VAGAS EM CARGOS EFETIVOS DO QUADRO DE PESSOAL DO INSTITUTO DE PREVIDÊNCIA SOCIAL DO MUNICÍPIO DE MACAÉ – MACAEPREV OBJETIVA – ANALISTA PREVIDENCIÁRIO ESPECIALIDADE ANALISTA DE SISTEMAS,analista_previdenciario_especialidade_analista_de_sistemas.pdf,A2 - muito alta,2024,70,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
P2_ALTA,9,TRIBUNAL DE JUSTIÇA DO ESTADO DE RORAIMA – EDITAL 01/2024 ANALISTA JUDICIÁRIO DESENVOLVIMENTO DE SISTEMAS – TIPO 1 BRANCA,analista_judiciario_desenvolvimento_de_sistemas.pdf,A2 - muito alta,2024,70,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
P2_ALTA,10,COMISSÃO DE VALORES MOBILIÁRIOS ANALISTA CVM - PERFIL 8 - TI - SISTEMAS E DESENVOLVIMENTO OBJETIVA DE CONHECIMENTOS ESPECÍFICOS –,analista_cvm_perfil_8_ti_sistemas_e_desenvolvimento_tarde.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PRELIMINARY
