sourceFilename,examRank,examTier,questionNumber,page,classificationStatus,primaryTopicId,primarySubtopicId,confidence,matchedTerms,outOfScopeMatches,crossWaveDuplicate,style,stemExcerpt,questionHash
analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,29,C - complementar,32,9,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd-capitulos,0.99,LGPD,,False,DIRECT_KNOWLEDGE,"A sociedade empresária Alfa recebeu dados cadastrais de um consumidor. Ato contínuo, decidiu que esses atos seriam avaliados, para determinados fins da atividade empresarial, por João, pessoa natural. Considerando a sistemática estabelecida pela Lei nº 13.709/2018, é correto afirmar que Alfa deve ser considerada (A) co",65e47e1d5aed21100e4e6babce1785836bfc947a43690b281986effcc0b7f58d
analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,29,C - complementar,56,13,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-padroes-dados-web,0.99,JSON; XML/XSLT/XPath,,False,CONCEPT_COMPARISON,"O SwaggerEditor permite editar e documentar APIs. Em relação ao tema, assinale V para a afirmativa verdadeira e F para a falsa. I. O editor pode ser utilizado online como uma ferramenta web de código aberto ou ser instalada e executada localmente a partir de um servidor. II. A página inicial da versão online é composta",e0e73e5bed15fbb9db0b95ea6b0696f44d8696421c4c1613efdfcf42410968b6
analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,29,C - complementar,57,13,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-testes,0.99,TDD/BDD; Tipos de teste,,False,ASSERTION_SET,"Considerando o DevOps e suas boas práticas, analise os itens a seguir: I. Testes integrados são uma parte importante do processo DevOps. Esses testes devem levar em consideração as práticas de Test-Driven Development e Behavior-Driven Development, dessa forma a execução automática desses testes pode ser integrada ao pi",29d63c0b68dee4cfa6f0d07d4237a1073ec94a3fc76edb11a6b82bfcab92686f
analista_tecnico_tecnologia_da_informacao.pdf,30,C - complementar,43,12,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.99,DOM; HTML/CSS/Ajax,,False,DIRECT_KNOWLEDGE,"No contexto de HTML e JavaScript, na construção function myFunction() { document.getElementById(""xxxx"").submit(); } o elemento xxxx deve identificar: (A) o path completo de um arquivo; (B) um elemento da classe EntryData; (C) um Form object; (D) um link externo; (E) uma página Web.",91db08967f195375aef55199451c3eec5742b480da06051e6a4551b47fb8de6a
analista_tecnico_tecnologia_da_informacao.pdf,30,C - complementar,53,14,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-requisitos,0.99,Classificação de requisitos,,False,DIRECT_KNOWLEDGE,As credenciais de acesso dos usuários de um aplicativo são armazenadas em um banco de dados e são utilizadas unicamente para acesso às funcionalidades do aplicativo. A equipe de desenvolvimento definiu como requisito não funcional que o sistema deve evitar que as senhas sejam obtidas por um invasor mesmo que o aplicati,47e51094460a0e83d8642c0959e4af548a1cb290943bea26ae687f1836db9ef1
analista_tecnolo_inform_desenv_tipo_1.pdf,31,C - complementar,58,12,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-metodologias-ageis,0.99,Métodos ágeis; Scrum; XP,,False,CODE_TRACE,"As metodologias ágeis representam um conjunto estruturado de práticas para o desenvolvimento de projetos de sistemas de software de forma iterativa e incremental. Em relação às metodologias ágeis, analise as afirmativas a seguir: I. No Scrum, se um ou mais aspectos de um processo desviou para fora dos limites aceitávei",83bfd1dbc434cda7703abc70b3776671d8b86ea2a36f89acc05c07a912bf4b27
analista_tecnolo_inform_desenv_tipo_1.pdf,31,C - complementar,67,14,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-normalizacao,0.99,Normalização,,False,DIRECT_KNOWLEDGE,"No projeto de bancos de dados relacionais, as dependências funcionais têm um importante papel no processo de normalização. Dependências funcionais podem ser combinadas para a derivação de novas dependências. Considere as seguintes dependências funcionais: A  B A  C B  C B  D A dependência funcional que não pode ser",16c4b5317aa61516089c11e7cf707706fb98c7ecb7a370d44ca06f6727ebf07c
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,33,C - complementar,32,8,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-padroes-dados-web,0.99,JSON; XML/XSLT/XPath,,False,DIRECT_KNOWLEDGE,"Paula e Maria estão avaliando as potencialidades dos usos de JSON e XML no desenvolvimento de aplicações Web para uma grande companhia estatal. As analistas sabem que JSON e XML são duas escolhas muito comuns quando se trata de formatos de dados na Web. A esse respeito, assinale a afirmativa correta. (A) Com relação à ",1f29c5be474b2ff7df37f240219457f3743b60005b7b4262c4612405b29fe87f
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,33,C - complementar,37,9,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-leg-lgpd,dp26-p3-leg-lgpd-capitulos,0.99,LGPD,,False,ASSERTION_SET,"A Lei nº 13.709/2018 (Lei Geral de Proteção de Dados Pessoais – LGPD) dispõe sobre o tratamento de dados pessoais, inclusive nos meios digitais, por pessoa natural ou por pessoa jurídica de direito público ou privado, com o objetivo de proteger os direitos fundamentais de liberdade e de privacidade e o livre desenvolvi",0186d05f0f13aeaad186abb948e34f96db0bf74ab1f178d0a7f29072c90ff42b
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,33,C - complementar,39,9,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-testes,0.99,Frameworks de testes; JUnit; Tipos de teste,,False,DIRECT_KNOWLEDGE,JUnit 5 é um framework de testes unitários para códigos Java. Ele possui uma arquitetura modular e três subprojetos principais. O subprojeto que fornece uma engine para executar testes baseados em JUnit 3 e JUnit 4 se chama (A) builder. (B) fashion. (C) jupiter. (D) vintage (E) tester.,c407e96d5cc1f19f660b2d51e770d0522d3fd9b8f9bfc9079c976e6948d865dd
analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,33,C - complementar,51,12,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-seguranca,dp26-p3-esp-si-acesso,0.99,OAuth2,,False,DIRECT_KNOWLEDGE,A RFC 6749 define a estrutura do protocolo OAuth 2.0. Os dois tipos de clientes desse protocolo são conhecidos como clientes (A) agent-based e tokenless. (B) aberto e criptografado. (C) confidencial e público. (D) fechado e seguro. (E) tsl e ssl.,79914fc81367ea54a562143b0924894ade0f4ad84c6c207f2b21b80bac0eed58
analista_judiciario_area_apoio_especializado_especialidade_tecnologia_da_informacao.pdf,34,C - complementar,70,14,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-seguranca,dp26-p3-esp-si-acesso,0.99,Acesso/autenticação; OAuth2,,False,DIRECT_KNOWLEDGE,"A analista Ana implementou o fluxo Authorization Code do OAuth2, conforme a RFC 6749. Ela está realizando sessões de debug na execução do fluxo, a fim de constatar inconsistências. Durante a sessão de debug 31, Ana pausou a execução do fluxo logo após o servidor retornar um código de autorização. Com base na RFC 6749, ",00f3943fa1099fecc40bfba25e2c209b7f7208f5722d055fe35081df80794170
tecnico_de_nivel_superior_analista_de_sistemas_computacionais_analista_de_suporte_de_ti.pdf,36,D - baixa/controle negativo,38,11,AUTO_CLASSIFIED_HIGH_CONFIDENCE,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gov-itil,0.99,ITIL 4,,False,DIRECT_KNOWLEDGE,"Amanda trabalha em uma prestadora de serviços de Tecnologia da Informação (TI). Com o objetivo de avaliar se o serviço prestado facilitará a criação de valor para os clientes, ela deverá verificar se o serviço deve apoiar o desempenho do consumidor ou remover restrições do consumidor. Outro fator a ser avaliado é se o ",416ea5a24cdd584c6dc42728c10bf8c1ca522200f118cf228efb379e6b131aae
