id,sourceGroup,lessonLabel,courseTitle,displayTitle,sourceFileName,totalPages,disciplineId,topicId,sectionCount,mappedSectionCount,containsPersonalWatermark
strategy-3fbdd1ffa5fcc8e2,Atualidades - F,Sem identificação,Atualidades,Atualidades — Aula Sem identificação: A Questão Hídrica,a-questao-hidrica-completo-2d30.pdf,8,dp26-p3-atualidades-ia,dp26-p3-atualidades,1,1,False
strategy-2360a267370aa79c,Atualidades - F,00,Atualidades,Atualidades — Aula 00: Apresentação Do Curso De Atualidades,curso-392245-aula-00-b7f4-grifado.pdf,54,dp26-p3-atualidades-ia,dp26-p3-atualidades,1,1,False
strategy-2bf9c4a768d019ac,Atualidades - F,01,Atualidades,"Atualidades — Aula 01: Islamismo, Mundo Árabe e Oriente Médio",curso-392245-aula-01-0dba-completo.pdf,89,dp26-p3-atualidades-ia,dp26-p3-atualidades,14,0,True
strategy-10be058999d17b08,Atualidades - F,02,Atualidades,Atualidades — Aula 02: Migrações,curso-392245-aula-02-245e-completo.pdf,189,dp26-p3-atualidades-ia,dp26-p3-atualidades,20,0,True
strategy-a2a2f7dc04c6365b,Atualidades - F,03,Atualidades,Atualidades — Aula 03: Tópicos Sobre Economia Brasileira,curso-392245-aula-03-09ef-completo.pdf,166,dp26-p3-atualidades-ia,dp26-p3-atualidades,28,18,True
strategy-c6f53b3b35e105d8,Atualidades - F,04,Atualidades,Atualidades — Aula 04: Organização do Estado Brasileiro,curso-392245-aula-04-cfc8-completo.pdf,104,dp26-p3-atualidades-ia,dp26-p3-atualidades,16,0,True
strategy-331386ca55365430,Atualidades - F,05,Atualidades,Atualidades — Aula 05: Saúde no Brasil,curso-392245-aula-05-2e80-completo.pdf,124,dp26-p3-atualidades-ia,dp26-p3-atualidades,12,12,True
strategy-1bfa4855202b283a,Atualidades - F,07,Atualidades,Atualidades — Aula 07: Retrospectiva de Atualidades,curso-392245-aula-07-1a46-completo.pdf,76,dp26-p3-atualidades-ia,dp26-p3-atualidades,2,2,True
strategy-05c6d4bbc94d1818,Atualidades - F,08,Atualidades,Atualidades — Aula 08: Apresentação - Simulado de Atualidades,curso-392245-aula-08-ad40-completo.pdf,62,dp26-p3-atualidades-ia,dp26-p3-atualidades,2,2,True
strategy-706ad76516ea7e1b,Atualidades - F,09,Atualidades,Atualidades — Aula 09: Retrospectiva de Atualidades,curso-392245-aula-09-348a-completo.pdf,90,dp26-p3-atualidades-ia,dp26-p3-atualidades,3,3,True
