ordinal,id_plataforma,paginas,classe_aderencia,status_banco,assunto,subassunto,item_primario,itens_secundarios,tipo_correspondencia,confianca,texto_completo,cinco_alternativas,caracteristicas,elemento_visual_recuperado,extracao_suficiente,gabarito_origem,resposta_operacional,anulacao_oficial_identificada_no_acervo,conflito_gabarito_detectado_fontes_disponiveis,grupo_duplicata,registro_principal,apta_estudo,potencial_simulado,resultado_recuperacao_v2,motivos
2,4000870759,1,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Programação,"Linguagens, frameworks e código de aplicação","Codificação de software transacional, analítico, mobile e API",,parcial,média,sim,sim,texto,sim,sim,plataforma secundária,E,não,não,,2,sim,sim,RECUPERADA_INTEGRALMENTE,
3,4001014794,"1,2",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Integridade referencial,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,3,sim,sim,,
5,4001068140,"2,3",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,5,sim,sim,,
6,4001068883,3,ADERENTE_DIRETA,ADERENTE_DIRETA,UX,"Formulários, inputs e placeholders","UX, CMS, arquitetura da informação, portais, workflow, acessibilidade, usabilidade e interação web",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,6,sim,sim,,
7,4001069096,3,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, preparação e ingestão de dados","ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,7,sim,sim,,
8,4001069262,3,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,8,sim,sim,,
10,4001080719,4,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade",Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,10,sim,sim,,
12,4001083293,"4,5",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,fórmula,não,sim,plataforma secundária,C,não,não,,12,sim,sim,,
13,4001221753,5,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,13,sim,sim,,
14,4001221783,"5,6",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,Role-playing dimension,Modelagem dimensional,,direta,alta,sim,sim,diagrama,não,sim,oficial definitivo,C,não,não,,14,sim,sim,,
15,4001224836,6,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade",DDL,Integridade referencial,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,15,sim,sim,,
16,4001224867,6,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),DDL,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,16,sim,sim,,
17,4001243925,"6,7",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Abordagem relacional e multidimensional,direta,alta,sim,sim,"código, SQL, diagrama",não,sim,plataforma secundária,E,não,não,,17,sim,sim,,
19,4001264293,"7,8",ADERENTE_DIRETA,ADERENTE_DIRETA,Outro/indeterminado,Não classificado,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,19,sim,sim,,
20,4001264317,8,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Programação,"Linguagens, frameworks e código de aplicação","Java 6+, JavaEE 6+, JakartaEE, JPA 2+, JavaScript, JUnit, Hibernate, JSF, PrimeFaces, Spring, Spring Cloud e Spring Boot","Modelagem conceitual, lógica e física",parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,20,sim,sim,,
22,4001271891,9,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,B,não,não,,22,sim,sim,,
23,4001301609,9,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,Role-playing dimension / esquema dimensional,Modelagem dimensional,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,C,não,não,,23,sim,sim,,
24,4001301621,9,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Estruturas de dados,"Pilhas, árvores, hash e estruturas clássicas",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,24,sim,sim,,
25,4001335492,10,ADERENTE_DIRETA,ADERENTE_DIRETA,Dados estruturados,"Dados estruturados, semiestruturados e não estruturados",Dados estruturados e não estruturados,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,25,sim,sim,RECUPERADA_INTEGRALMENTE,
27,4001346428,"10,11",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,"tabela, fórmula",sim,sim,plataforma secundária,A,não,não,,27,sim,sim,,
28,4001368214,11,ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Modelos NoSQL,Banco de dados NoSQL,,direta,alta,sim,sim,"gráfico, diagrama",não,sim,plataforma secundária,B,não,não,,28,sim,sim,,
29,4001379310,11,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Programação,"Linguagens, frameworks e código de aplicação",Aprendizado de máquina,"Inteligência Artificial, Análise de Dados e Big Data",parcial,média,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,29,sim,sim,RECUPERADA_INTEGRALMENTE,
31,4001379421,12,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,31,sim,sim,,
32,4001379425,12,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,32,sim,sim,,
33,4001379436,"12,13",ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Elasticsearch e pipelines de ingestão,"ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,33,sim,sim,RECUPERADA_INTEGRALMENTE,
35,4001379990,13,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,35,sim,sim,,
39,4001384441,14,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,39,sim,sim,,
40,4001384444,15,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, preparação e ingestão de dados","ETL/ELT, transferência de arquivos e integração via base de dados",Data warehouse com ETL e OLAP,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,40,sim,sim,,
41,4001384570,15,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,41,sim,sim,,
43,4001386111,16,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,43,sim,sim,,
45,4001424441,"16,17",ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Modelos NoSQL,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,45,sim,sim,,
48,4001427981,"17,18",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade",Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,48,sim,sim,,
49,4001427982,18,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,49,sim,sim,RECUPERADA_INTEGRALMENTE,
51,4001477687,19,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,51,sim,sim,,
52,4001493411,19,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,52,sim,sim,,
53,4001545892,"19,20",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Qualidade de dados,Data profiling,Mapeamento de fontes e técnicas de coleta de dados,"Inteligência Artificial, Análise de Dados e Big Data",parcial,média,sim,sim,tabela,não,sim,oficial definitivo,A,não,não,,53,sim,sim,,
54,4001545894,20,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,54,sim,sim,,
55,4001545897,20,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,55,sim,sim,,
56,4001545899,"20,21",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,Role-playing dimension / modelagem dimensional,Modelagem dimensional,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,56,sim,sim,,
57,4001545931,"21,22",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",Normalização,DDL,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,57,sim,sim,,
58,4001574599,22,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,58,sim,sim,RECUPERADA_INTEGRALMENTE,
59,4001574625,"22,23",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,59,sim,sim,,
60,4001574629,23,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,60,sim,sim,,
61,4001574632,23,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,E,não,não,,61,sim,sim,RECUPERADA_INTEGRALMENTE,
62,4001574641,"23,24",ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,62,sim,sim,,
64,4001580946,24,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,64,sim,sim,,
65,4001580948,"24,25",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Integração de dados,"ETL, ELT, ingestão e preparação","ETL/ELT, transferência de arquivos e integração via base de dados",,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,65,sim,sim,,
